Category,Probability,Timestamp
person,0.35,17:16:12
person,0.33,17:16:13
person,0.33,17:16:13
person,0.33,17:16:14
person,0.33,17:16:14
person,0.31,17:16:15
person,0.35,17:16:15
person,0.37,17:16:16
person,0.35,17:16:16
person,0.31,17:16:17
person,0.35,17:16:17
person,0.33,17:16:17
person,0.35,17:16:18
person,0.37,17:16:18
person,0.35,17:16:19
person,0.35,17:16:19
person,0.35,17:16:19
person,0.33,17:16:20
person,0.33,17:16:20
person,0.33,17:16:21
person,0.35,17:16:21
person,0.35,17:18:15
person,0.31,17:18:15
person,0.33,17:18:16
person,0.31,17:18:17
person,0.33,17:18:17
person,0.31,17:18:18
person,0.35,17:18:18
person,0.35,17:18:18
person,0.35,17:18:19
person,0.35,17:18:19
person,0.33,17:18:20
person,0.37,17:18:20
person,0.33,17:18:20
person,0.35,17:18:21
person,0.37,17:18:21
person,0.37,17:18:22
person,0.35,17:18:22
person,0.33,17:18:22
person,0.37,17:18:23
person,0.37,17:18:23
person,0.35,17:18:24
person,0.37,17:18:24
person,0.35,17:18:24
person,0.35,17:18:25
person,0.33,17:18:25
person,0.35,17:18:26
person,0.35,17:18:26
person,0.35,17:18:27
person,0.37,17:18:27
person,0.37,17:18:27
person,0.33,17:18:28
person,0.33,17:18:28
person,0.35,17:18:29
person,0.39,17:18:30
person,0.37,17:18:30
person,0.37,17:18:31
person,0.37,17:18:31
person,0.35,17:18:31
person,0.35,17:18:32
person,0.31,17:18:32
person,0.33,17:18:33
person,0.37,17:18:33
person,0.35,17:18:33
person,0.37,17:18:34
person,0.39,17:18:34
person,0.35,17:18:35
person,0.37,17:18:35
person,0.35,17:18:36
person,0.37,17:18:36
person,0.37,17:18:37
person,0.35,17:18:37
person,0.35,17:18:51
person,0.35,17:18:52
person,0.33,17:18:53
person,0.31,17:18:53
person,0.33,17:18:54
person,0.35,17:18:54
person,0.33,17:18:55
person,0.37,17:18:55
person,0.39,17:18:56
person,0.37,17:18:56
person,0.37,17:18:57
person,0.33,17:18:57
person,0.33,17:18:58
person,0.39,17:18:58
person,0.35,17:18:59
person,0.35,17:18:59
person,0.37,17:18:59
person,0.37,17:19:00
